Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated murder and nonnegligent manslaughter
Year,Virginia
1960,         487
1961,         349
1962,         362
1963,         307
1964,         367
1965,         365
1966,         364
1967,         411
1968,         473
1969,         341
1970,         483
1971,         475
1972,         561
1973,         503
1974,         522
1975,         570
1976,         476
1977,         460
1978,         452
1979,         447
1980,         459
1981,         464
1982,         405
1983,         387
1984,         434
1985,         405
1986,         411
1987,         437
1988,         468
1989,         480
1990,         545
1991,         583
1992,         564
1993,         539
1994,         571
1995,         503
1996,         500
1997,         488
1998,         422
1999,         392
2000,         401
2001,         364
2002,         388
2003,         416
2004,         390
2005,         458
2006,         403
2007,         415
2008,         370
2009,         370
2010,         376
2011,         304
2012,         322
2013,         320
2014,         338

		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.


"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Apr 21 2017
